created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Aug 01 23:25:39 +0000 2023;1686518583835107328;"Will someone please get David Grusch in a SCIF.   #ufotwitter #ufos #ufo #ufox #uap https://t.co/9MgDX1x3ik";6;50;100;734;en;21799800;1686518583835107328;MikeColangelo;https://twitter.com/MikeColangelo/status/1686518583835107328
Tue Aug 01 22:34:21 +0000 2023;1686505676359561216;"David Grusch told Liberation Times:  “Congressman Turner has not followed up with me, and based on his public statements, it appears he has not asked for a briefing on my testimony or has failed to ask the Intelligence Community’s Inspector General for more information.”…";5;8;52;302;en;1185041991614291969;1686505676359561216;Brodawg42;https://twitter.com/Brodawg42/status/1686505676359561216
Tue Aug 01 21:55:56 +0000 2023;1686496005804486656;"David Grusch responds to Rep. Mike Turner’s comments on Fox News characterizing him as “somebody who comes forward and testifies about things that they don't know anything about.”  Grusch’s exclusive statement obtained by @ChrisUKSharp  https://t.co/YCYPpfEAWb  #ufotwitter #ufo https://t.co/ZRxoPzI3XM";9;37;187;723;en;1408270506894188545;1686496005804486656;UAPJames;https://twitter.com/UAPJames/status/1686496005804486656
Tue Aug 01 21:30:58 +0000 2023;1686489725597634560;"David Grusch told Liberation Times:  “Congressman Turner has not followed up with me, and based on his public statements, it appears he has not asked for a briefing on my testimony or has failed to ask the Intelligence Community’s Inspector General for more information.”";14;50;164;710;en;1518261293807030275;1686489725597634560;ChrisUKSharp;https://twitter.com/ChrisUKSharp/status/1686489725597634560
Tue Aug 01 21:09:18 +0000 2023;1686484271329050628;"The late Nat Kobitz... a key figure in the David Grusch story.  From Ross Coulthart's In Plain Sight: "I listened enthralled for an hour as he [Kobitz] told me the history of his US Navy R&amp D work. Kobitz was a navy defense aerospace legend, honored for his distinguished service.… https://t.co/Vhbq9h8oXu";1;3;34;139;en;1449570612;1686484271329050628;planethunter56;https://twitter.com/planethunter56/status/1686484271329050628
Tue Aug 01 21:01:04 +0000 2023;1686482201397837824;"Poor Jimmy couldn’t take the 33K views on my comment on his thread I made against his scathing and disrespectful / disgusting remark regarding David Grusch’s appearance at the hearing.   I don’t tolerate bullies or pig headed ego centric young lads who disrespect the autistic… https://t.co/CaT4TQZ8kg";3;93;25;450;en;1441460597531418624;1686482201397837824;RobertESheridan;https://twitter.com/RobertESheridan/status/1686482201397837824
Tue Aug 01 20:18:28 +0000 2023;1686471480521945089;"Rep. Anna Paulina Luna says the HOC is requesting the “bombshell” Inspector General report that David Grusch testified to.  “I want to see names, documentation, images and footage. According to what Grusch says and what I have seen, that exists. So let's try to declassify it.”… https://t.co/omYGIRCfIR";12;37;159;956;en;1408270506894188545;1686471480521945089;UAPJames;https://twitter.com/UAPJames/status/1686471480521945089
Tue Aug 01 19:12:45 +0000 2023;1686454939755626510;"Breaking Points @esaagar and @krystalball cover the latest bizarre letter by Dr Kirkpatrick in response to UFO whistleblower David Grusch. Great segment!   H/T @devgru1980mi https://t.co/Sh2mdAdgI8";3;5;43;172;en;4639346117;1686454939755626510;HighPeaks77;https://twitter.com/HighPeaks77/status/1686454939755626510
Tue Aug 01 18:20:07 +0000 2023;1686441697037975552;"Agree. ANYBODY, including @vermontgmg, who reports on David Grusch and his second hand allegations, is leaving out an incredibly important aspect of this story. At least mention that @marcorubio, the vice chairman of the SSCI, had this exchange with @JoeKhalilTV:  Khalil: I'm…";1;9;26;122;en;1350189436819017728;1686441697037975552;TheUfoJoe;https://twitter.com/TheUfoJoe/status/1686441697037975552
Tue Aug 01 18:11:55 +0000 2023;1686439632052105216;"This is a comprehensive article on not only David Grusch and the UFO hearings, but also provides a nice summary of the Varginha incident as seen in "Moment of Contact".  The article includes some quotes that are always compelling to read about, and which were included in the film… https://t.co/mzoQp1Az7f";0;9;20;134;en;1449570612;1686439632052105216;planethunter56;https://twitter.com/planethunter56/status/1686439632052105216
Tue Aug 01 17:26:42 +0000 2023;1686428254679474176;""UFO whistleblower" David Grusch got his Colorado real estate license in January 2021. Also in January 2021, some important things happened in the UFO world.  The below is all publicly-available information.  When I first called David Grusch on May 26, 2023 (he hung up on me), he… https://t.co/BYuDOkeFuE";9;227;33;199;en;20652877;1686428254679474176;MiddleOfMayhem;https://twitter.com/MiddleOfMayhem/status/1686428254679474176
Tue Aug 01 17:08:32 +0000 2023;1686423682804289536;"This is why the GQP hosted fake UFO “whistleblower” David Grusch who claims that Mussolini shot down a UFO in 1933 and Pope Pius XII conspired with the US Government to send the spaceship and the dead aliens to Area 51 after WWII.  It’s all broken glass for your brain to digest.";1;11;34;114;en;256154569;1686423682804289536;jimstewartson;https://twitter.com/jimstewartson/status/1686423682804289536
Tue Aug 01 17:05:00 +0000 2023;1686422793527742479;"https://t.co/wXh738IpOa David Grusch, a former military intelligence officer, told a House Oversight subcommittee that all those stories you’ve read on the internet are true: The government has debris collected from crashed alien spacecraft. But where is the evidence? It’s MIA.";10;70;22;129;en;34554134;1686422793527742479;SETIInstitute;https://twitter.com/SETIInstitute/status/1686422793527742479
Tue Aug 01 16:48:11 +0000 2023;1686418559445159936;"In the hearing, David Grusch wouldn't explain the tricks used to funnel money into these unreported/hidden UAP programs but said he'd share those details in a closed setting. Here's what I was told about that in 2020 from a government insider, and I wrote about it in my W/D… https://t.co/jBonjzgm8L";7;41;104;468;en;1350189436819017728;1686418559445159936;TheUfoJoe;https://twitter.com/TheUfoJoe/status/1686418559445159936
Tue Aug 01 16:17:11 +0000 2023;1686410756877643777;"On the one hand, this topic is finally being covered in mainstream media, and that should be celebrated. Still, the ease with which people like this just flatly state that they don't believe David Grusch's claims, despite his clear bonafides, just shows - again - how sloppy this…";0;21;12;120;en;1127680171883028481;1686410756877643777;ExoAcademian;https://twitter.com/ExoAcademian/status/1686410756877643777
Tue Aug 01 16:04:56 +0000 2023;1686407673925795840;"Dear Congressman @RepMikeTurner: I have direct knowledge that you have access to corroborating information about David Grusch’s allegations. So, why have you not been briefed by the HPSCI Staff Director, your own personal staffer, and GC’s - all of whom were in the SCIF for Mr.…";17;54;170;701;en;1296234783190597633;1686407673925795840;RogueUAPTF;https://twitter.com/RogueUAPTF/status/1686407673925795840
Tue Aug 01 15:44:13 +0000 2023;1686402464147193856;"What’s the deal with UFOs? The historical context of recent whistleblower claims  Interesting news segment and interview about the UFO hearing and David Grusch from PBS News Hour. Journalist and author Garrett Graff, shares his opinions about the situation.  Personally, I think… https://t.co/WUMqUI9ESH";4;29;41;202;en;21799800;1686402464147193856;MikeColangelo;https://twitter.com/MikeColangelo/status/1686402464147193856
